operation_id,fecha_score,proyecto,asesor_id,canal,riesgo_caida,prioridad,sla_horas,valor_esperado_en_riesgo,accion_recomendada,ranking_prioridad,data_mode
OP_1FBAF8BF63,2026-07-05,Edificio Saenz,ASESOR_D49965A644,sin_clasificar,0.103041,P3,168,6188.31,Seguimiento regular.,754,real_source:ranking_operaciones_riesgo_caida.parquet
OP_A97CA04768,2026-07-05,Edificio Saenz,ASESOR_D49965A644,sin_clasificar,0.103041,P3,168,6111.03,Seguimiento regular.,755,real_source:ranking_operaciones_riesgo_caida.parquet
OP_A0F4AEB7C8,2026-07-05,Edificio Saenz,ASESOR_D49965A644,sin_clasificar,0.103041,P3,168,6085.37,Seguimiento regular.,756,real_source:ranking_operaciones_riesgo_caida.parquet
OP_BB04C58293,2026-07-05,Edificio Saenz,ASESOR_D49965A644,sin_clasificar,0.103041,P3,168,6085.37,Seguimiento regular.,757,real_source:ranking_operaciones_riesgo_caida.parquet
OP_CBE9FE9AC7,2026-07-05,Edificio Saenz,ASESOR_D49965A644,sin_clasificar,0.103041,P3,168,5988.62,Seguimiento regular.,758,real_source:ranking_operaciones_riesgo_caida.parquet
OP_F2337EEBC2,2026-07-05,Edificio Saenz,ASESOR_D49965A644,sin_clasificar,0.103041,P3,168,5988.62,Seguimiento regular.,759,real_source:ranking_operaciones_riesgo_caida.parquet
OP_BE2A8F326E,2026-07-05,Edificio Saenz,ASESOR_D49965A644,sin_clasificar,0.103041,P3,168,5967.6,Seguimiento regular.,760,real_source:ranking_operaciones_riesgo_caida.parquet
OP_21F2DC5FA4,2026-07-05,Edificio Saenz,ASESOR_D49965A644,sin_clasificar,0.103041,P3,168,5967.6,Seguimiento regular.,761,real_source:ranking_operaciones_riesgo_caida.parquet
OP_34957B4768,2026-07-05,Edificio Saenz,ASESOR_D49965A644,sin_clasificar,0.103041,P3,168,5942.25,Seguimiento regular.,762,real_source:ranking_operaciones_riesgo_caida.parquet
OP_EBD814F776,2026-07-05,Edificio Saenz,ASESOR_D49965A644,sin_clasificar,0.103041,P3,168,5930.81,Seguimiento regular.,763,real_source:ranking_operaciones_riesgo_caida.parquet
