operation_id,ranking_capacity,proyecto,asesor_id,canal,riesgo_caida,valor_esperado_en_riesgo,dias_en_tuberia,prioridad,sla_horas,accion_recomendada,data_mode
OP_4299DA74,582,Edificio Mariategui,ASESOR_26DEBB0E,sin_clasificar,0.4494,19079.94,1132,P3_backlog,168,Backlog: no intervenir salvo nueva señal o capacidad disponible.,crm_aggregated_safe
OP_421C0A7B,583,Edificio Cuba Connect,ASESOR_10B2BE3F,sin_clasificar,0.2216,19076.03,1690,P3_backlog,168,Backlog: no intervenir salvo nueva señal o capacidad disponible.,crm_aggregated_safe
OP_62BFA285,584,Matera,ASESOR_1F3B24E1,sin_clasificar,0.3448,19046.27,300,P3_backlog,168,Backlog: no intervenir salvo nueva señal o capacidad disponible.,crm_aggregated_safe
OP_085BCB59,585,Los Jardines de Urteaga,ASESOR_10B2BE3F,sin_clasificar,0.1604,19018.95,1529,P3_backlog,168,Backlog: no intervenir salvo nueva señal o capacidad disponible.,crm_aggregated_safe
OP_C403741C,586,Matera,ASESOR_BB88CD67,sin_clasificar,0.3285,19018.87,307,P3_backlog,168,Backlog: no intervenir salvo nueva señal o capacidad disponible.,crm_aggregated_safe
OP_219DE138,587,Alicanto,ASESOR_C931A67B,sin_clasificar,0.379,18999.4,585,P3_backlog,168,Backlog: no intervenir salvo nueva señal o capacidad disponible.,crm_aggregated_safe
OP_82A93B15,588,Edificio Mariategui,ASESOR_C931A67B,sin_clasificar,0.457,18963.19,1123,P3_backlog,168,Backlog: no intervenir salvo nueva señal o capacidad disponible.,crm_aggregated_safe
OP_A917CA75,589,Edificio Cuba Connect,ASESOR_10B2BE3F,sin_clasificar,0.2204,18895.1,1959,P3_backlog,168,Backlog: no intervenir salvo nueva señal o capacidad disponible.,crm_aggregated_safe
OP_FBE69742,590,Edificio Cuba Connect,ASESOR_10B2BE3F,sin_clasificar,0.2204,18895.1,1833,P3_backlog,168,Backlog: no intervenir salvo nueva señal o capacidad disponible.,crm_aggregated_safe
OP_E6FCC025,591,Torre Nápoles,ASESOR_B56EAA59,sin_clasificar,0.6254,18763.03,254,P3_backlog,168,Backlog: no intervenir salvo nueva señal o capacidad disponible.,crm_aggregated_safe
