experiment_id,operation_id,proyecto,asesor_id,canal,prioridad,riesgo_caida,risk_band,valor_esperado_en_riesgo,experiment_arm,eligible,accion_tomada,resultado_7d,resultado_30d,outcome_class_7d,outcome_class_30d,is_positive_30d,is_negative_30d,is_pending_30d,treatment_contacted
riesgo_caida_action_impact_v1,OP_9D3BBD6DB9,Tizón y Bueno,ASESOR_C6B4E60323,sin_clasificar,P1,0.544408,high,39319.9,control,True,pendiente,pendiente,pendiente,pending,pending,0,0,1,0
riesgo_caida_action_impact_v1,OP_CFD03D3E0B,Sialia,ASESOR_233077BA7F,sin_clasificar,P1,0.544365,high,33070.17,treatment,True,pendiente,pendiente,pendiente,pending,pending,0,0,1,0
riesgo_caida_action_impact_v1,OP_CEEA3B5AEF,Capadocia,ASESOR_7B5A7F5FB0,sin_clasificar,P1,0.544168,high,48566.89,treatment,True,pendiente,pendiente,pendiente,pending,pending,0,0,1,0
riesgo_caida_action_impact_v1,OP_09F493191B,Edificio Urbanzen,ASESOR_C6B4E60323,sin_clasificar,P1,0.543457,high,45780.84,treatment,True,pendiente,pendiente,pendiente,pending,pending,0,0,1,0
riesgo_caida_action_impact_v1,OP_51DBAD0494,Capadocia,ASESOR_950BED165C,sin_clasificar,P1,0.542917,high,44017.59,treatment,True,pendiente,pendiente,pendiente,pending,pending,0,0,1,0
riesgo_caida_action_impact_v1,OP_24395CB4B5,Edificio Urbanzen,ASESOR_233077BA7F,sin_clasificar,P1,0.542569,high,51679.7,control,True,pendiente,pendiente,pendiente,pending,pending,0,0,1,0
riesgo_caida_action_impact_v1,OP_D255F416AA,Sialia,ASESOR_233077BA7F,sin_clasificar,P1,0.54253,high,31819.4,treatment,True,pendiente,pendiente,pendiente,pending,pending,0,0,1,0
riesgo_caida_action_impact_v1,OP_089436D81C,Tizón y Bueno,ASESOR_E05C20E0FE,sin_clasificar,P1,0.541755,high,32674.58,treatment,True,pendiente,pendiente,pendiente,pending,pending,0,0,1,0
riesgo_caida_action_impact_v1,OP_7AD73554C7,Tizón y Bueno,ASESOR_1265C8A465,sin_clasificar,P1,0.541107,high,43802.12,control,True,pendiente,pendiente,pendiente,pending,pending,0,0,1,0
riesgo_caida_action_impact_v1,OP_B87CB710E2,Tizón y Bueno,ASESOR_1265C8A465,sin_clasificar,P1,0.540988,high,41953.63,control,True,pendiente,pendiente,pendiente,pending,pending,0,0,1,0
riesgo_caida_action_impact_v1,OP_C87598B86B,Sialia,ASESOR_233077BA7F,sin_clasificar,P1,0.540439,high,33593.67,treatment,True,pendiente,pendiente,pendiente,pending,pending,0,0,1,0
riesgo_caida_action_impact_v1,OP_2EF88ABD0B,Sialia,ASESOR_7B5A7F5FB0,sin_clasificar,P1,0.540174,high,37624.27,treatment,True,pendiente,pendiente,pendiente,pending,pending,0,0,1,0
riesgo_caida_action_impact_v1,OP_35B63EF665,Tizón y Bueno,ASESOR_9FCF63DC91,sin_clasificar,P1,0.539624,high,36408.26,control,True,pendiente,pendiente,pendiente,pending,pending,0,0,1,0
riesgo_caida_action_impact_v1,OP_D2CB056E7D,Edificio Urbanzen,ASESOR_4A5D5CDFC6,sin_clasificar,P1,0.539477,high,24276.48,treatment,True,pendiente,pendiente,pendiente,pending,pending,0,0,1,0
riesgo_caida_action_impact_v1,OP_16B4D17600,Edificio Urbanzen,ASESOR_7B5A7F5FB0,sin_clasificar,P1,0.53826,high,48233.51,treatment,True,pendiente,pendiente,pendiente,pending,pending,0,0,1,0
riesgo_caida_action_impact_v1,OP_A48AF23367,Sialia,ASESOR_7B5A7F5FB0,sin_clasificar,P1,0.538229,high,39659.16,control,True,pendiente,pendiente,pendiente,pending,pending,0,0,1,0
