experiment_id,operation_id,assigned_at,proyecto,asesor_id,canal,prioridad,riesgo_caida,risk_band,valor_esperado_en_riesgo,accion_recomendada,eligible,experiment_arm,assignment_score,holdout_reason,data_mode
riesgo_caida_action_impact_v1,OP_21DB6B88EA,2026-07-05T01:23:32.267615+00:00,Edificio Mariategui,ASESOR_1265C8A465,sin_clasificar,P1,0.572706,high,50157.85,Contactar en 24h y confirmar siguiente hito de cierre.,True,treatment,0.469945,,real_source:ranking_operaciones_riesgo_caida.parquet
riesgo_caida_action_impact_v1,OP_B453623583,2026-07-05T01:23:32.267615+00:00,Alicanto,ASESOR_7B5A7F5FB0,sin_clasificar,P1,0.571085,high,48085.62,Contactar en 24h y confirmar siguiente hito de cierre.,True,treatment,0.610891,,real_source:ranking_operaciones_riesgo_caida.parquet
riesgo_caida_action_impact_v1,OP_01B558E5E9,2026-07-05T01:23:32.267615+00:00,Edificio Urbanzen,ASESOR_950BED165C,sin_clasificar,P1,0.571034,high,59958.58,Contactar en 24h y confirmar siguiente hito de cierre.,True,treatment,0.130059,,real_source:ranking_operaciones_riesgo_caida.parquet
riesgo_caida_action_impact_v1,OP_B2B32E0AE3,2026-07-05T01:23:32.267615+00:00,Modena,ASESOR_9FCF63DC91,sin_clasificar,P1,0.570184,high,49948.84,Contactar en 24h y confirmar siguiente hito de cierre.,True,control,0.831413,holdout_control_para_medir_impacto,real_source:ranking_operaciones_riesgo_caida.parquet
riesgo_caida_action_impact_v1,OP_032FA878F6,2026-07-05T01:23:32.267615+00:00,Alicanto,ASESOR_E5897908D5,sin_clasificar,P1,0.564971,high,44358.07,Contactar en 24h y confirmar siguiente hito de cierre.,True,control,0.842622,holdout_control_para_medir_impacto,real_source:ranking_operaciones_riesgo_caida.parquet
riesgo_caida_action_impact_v1,OP_EF2CCA85D4,2026-07-05T01:23:32.267615+00:00,Tizón y Bueno,ASESOR_E5897908D5,sin_clasificar,P1,0.564583,high,38109.33,Contactar en 24h y confirmar siguiente hito de cierre.,True,treatment,0.646975,,real_source:ranking_operaciones_riesgo_caida.parquet
riesgo_caida_action_impact_v1,OP_FE727ACC29,2026-07-05T01:23:32.267615+00:00,Torre Nápoles,ASESOR_DA48A4F817,sin_clasificar,P1,0.563962,high,19119.37,Contactar en 24h y confirmar siguiente hito de cierre.,True,treatment,0.130796,,real_source:ranking_operaciones_riesgo_caida.parquet
riesgo_caida_action_impact_v1,OP_E58CCEBB9C,2026-07-05T01:23:32.267615+00:00,Edificio Mariategui,ASESOR_1265C8A465,sin_clasificar,P1,0.563334,high,51401.38,Contactar en 24h y confirmar siguiente hito de cierre.,True,treatment,0.368429,,real_source:ranking_operaciones_riesgo_caida.parquet
riesgo_caida_action_impact_v1,OP_B22BFAB2D3,2026-07-05T01:23:32.267615+00:00,Capadocia,ASESOR_233077BA7F,sin_clasificar,P1,0.561924,high,52196.71,Contactar en 24h y confirmar siguiente hito de cierre.,True,control,0.834159,holdout_control_para_medir_impacto,real_source:ranking_operaciones_riesgo_caida.parquet
riesgo_caida_action_impact_v1,OP_884FD4A870,2026-07-05T01:23:32.267615+00:00,Modena,ASESOR_7B5A7F5FB0,sin_clasificar,P1,0.561108,high,45709.28,Contactar en 24h y confirmar siguiente hito de cierre.,True,control,0.71076,holdout_control_para_medir_impacto,real_source:ranking_operaciones_riesgo_caida.parquet
